,price_value,market_cap_value,volume_value,date,id
0,135.3,1500517590.0,0.0,2013-04-28 00:00:00,bitcoin
1,141.96,1575032004.0,0.0,2013-04-29 00:00:00,bitcoin
2,135.3,1501657493.0,0.0,2013-04-30 00:00:00,bitcoin
3,117.0,1298951550.0,0.0,2013-05-01 00:00:00,bitcoin
4,103.43,1148667722.0,0.0,2013-05-02 00:00:00,bitcoin
5,91.01,1011066494.0,0.0,2013-05-03 00:00:00,bitcoin
6,111.25,1236351844.0,0.0,2013-05-04 00:00:00,bitcoin
7,116.79,1298377788.0,0.0,2013-05-05 00:00:00,bitcoin
8,118.33,1315992304.0,0.0,2013-05-06 00:00:00,bitcoin
9,106.4,1183766500.0,0.0,2013-05-07 00:00:00,bitcoin
10,112.64,1253655040.0,0.0,2013-05-08 00:00:00,bitcoin
11,113.0,1258130700.0,0.0,2013-05-09 00:00:00,bitcoin
12,118.78,1322989457.0,0.0,2013-05-10 00:00:00,bitcoin
13,113.01,1259239352.0,0.0,2013-05-11 00:00:00,bitcoin
14,114.713,1278708679.0,0.0,2013-05-12 00:00:00,bitcoin
15,117.18,1306721052.0,0.0,2013-05-13 00:00:00,bitcoin
16,114.5,1277278988.0,0.0,2013-05-14 00:00:00,bitcoin
17,114.156,1273849681.0,0.0,2013-05-15 00:00:00,bitcoin
18,115.5,1289277412.0,0.0,2013-05-16 00:00:00,bitcoin
19,123.1,1374605382.0,0.0,2013-05-17 00:00:00,bitcoin
20,123.88,1383755085.0,0.0,2013-05-18 00:00:00,bitcoin
21,120.501,1346499262.0,0.0,2013-05-19 00:00:00,bitcoin
22,122.58,1370131821.0,0.0,2013-05-20 00:00:00,bitcoin
23,122.9,1374154118.0,0.0,2013-05-21 00:00:00,bitcoin
24,123.0,1375791900.0,0.0,2013-05-22 00:00:00,bitcoin
25,125.748,1407041528.0,0.0,2013-05-23 00:00:00,bitcoin
26,131.7,1474180657.0,0.0,2013-05-24 00:00:00,bitcoin
27,130.77,1464316690.0,0.0,2013-05-25 00:00:00,bitcoin
28,134.6,1507769010.0,0.0,2013-05-26 00:00:00,bitcoin
29,128.985,1445444606.0,0.0,2013-05-27 00:00:00,bitcoin
30,129.179,1448115967.0,0.0,2013-05-28 00:00:00,bitcoin
31,132.13,1481781795.0,0.0,2013-05-29 00:00:00,bitcoin
32,127.401,1429308634.0,0.0,2013-05-30 00:00:00,bitcoin
33,127.98,1436386730.0,0.0,2013-05-31 00:00:00,bitcoin
34,129.09,1449499974.0,0.0,2013-06-01 00:00:00,bitcoin
35,121.3,1362684200.0,0.0,2013-06-02 00:00:00,bitcoin
36,121.16,1361765704.0,0.0,2013-06-03 00:00:00,bitcoin
37,121.309,1364113640.0,0.0,2013-06-05 00:00:00,bitcoin
38,121.714,1369233814.0,0.0,2013-06-06 00:00:00,bitcoin
39,119.0,1339234925.0,0.0,2013-06-07 00:00:00,bitcoin
40,110.09,1239395972.0,0.0,2013-06-08 00:00:00,bitcoin
41,108.401,1220874393.0,0.0,2013-06-09 00:00:00,bitcoin
42,99.7497,1123844958.0,0.0,2013-06-10 00:00:00,bitcoin
43,105.99,1194605341.0,0.0,2013-06-11 00:00:00,bitcoin
44,108.9,1227904672.0,0.0,2013-06-12 00:00:00,bitcoin
45,108.4,1222819750.0,0.0,2013-06-13 00:00:00,bitcoin
46,102.769,1159766150.0,0.0,2013-06-14 00:00:00,bitcoin
47,98.399,1110902570.0,0.0,2013-06-15 00:00:00,bitcoin
48,99.99,1129287060.0,0.0,2013-06-16 00:00:00,bitcoin
49,100.42,1134610433.0,0.0,2013-06-17 00:00:00,bitcoin
50,102.0,1152834600.0,0.0,2013-06-18 00:00:00,bitcoin
51,106.55,1204638318.0,0.0,2013-06-19 00:00:00,bitcoin
52,107.9,1220273470.0,0.0,2013-06-20 00:00:00,bitcoin
53,110.91,1254733148.0,0.0,2013-06-21 00:00:00,bitcoin
54,109.015,1233750009.0,0.0,2013-06-22 00:00:00,bitcoin
55,107.25,1214260369.0,0.0,2013-06-23 00:00:00,bitcoin
56,108.0,1223181000.0,0.0,2013-06-24 00:00:00,bitcoin
57,102.443,1160635652.0,0.0,2013-06-25 00:00:00,bitcoin
58,103.691,1175194910.0,0.0,2013-06-26 00:00:00,bitcoin
59,103.39,1172207388.0,0.0,2013-06-27 00:00:00,bitcoin
60,99.66,1130338737.0,0.0,2013-06-28 00:00:00,bitcoin
61,93.3311,1058953327.0,0.0,2013-06-29 00:00:00,bitcoin
62,95.3886,1082693996.0,0.0,2013-06-30 00:00:00,bitcoin
63,97.504,1107084792.0,0.0,2013-07-01 00:00:00,bitcoin
64,89.489,1016445146.0,0.0,2013-07-02 00:00:00,bitcoin
65,90.797,1031653673.0,0.0,2013-07-03 00:00:00,bitcoin
66,78.8,895707780.0,0.0,2013-07-04 00:00:00,bitcoin
67,78.48,892405890.0,0.0,2013-07-05 00:00:00,bitcoin
68,67.809,771368060.0,0.0,2013-07-06 00:00:00,bitcoin
69,68.0831,774804401.0,0.0,2013-07-07 00:00:00,bitcoin
70,77.502,882356395.0,0.0,2013-07-08 00:00:00,bitcoin
71,76.3915,870081997.0,0.0,2013-07-09 00:00:00,bitcoin
72,77.0,877378425.0,0.0,2013-07-10 00:00:00,bitcoin
73,85.75,977479256.0,0.0,2013-07-11 00:00:00,bitcoin
74,93.804,1069724400.0,0.0,2013-07-12 00:00:00,bitcoin
75,88.0622,1004551934.0,0.0,2013-07-13 00:00:00,bitcoin
76,95.58,1090715949.0,0.0,2013-07-14 00:00:00,bitcoin
77,94.0,1073073450.0,0.0,2013-07-15 00:00:00,bitcoin
78,97.301,1111179853.0,0.0,2013-07-16 00:00:00,bitcoin
79,98.9796,1130735527.0,0.0,2013-07-17 00:00:00,bitcoin
80,97.8,1117707300.0,0.0,2013-07-18 00:00:00,bitcoin
81,88.7869,1015062893.0,0.0,2013-07-19 00:00:00,bitcoin
82,91.572,1047311253.0,0.0,2013-07-20 00:00:00,bitcoin
83,89.28,1021492656.0,0.0,2013-07-21 00:00:00,bitcoin
84,90.3672,1034399451.0,0.0,2013-07-22 00:00:00,bitcoin
85,91.7024,1050054379.0,0.0,2013-07-23 00:00:00,bitcoin
86,94.5806,1083333286.0,0.0,2013-07-24 00:00:00,bitcoin
87,94.525,1083076902.0,0.0,2013-07-25 00:00:00,bitcoin
88,96.9499,1111232483.0,0.0,2013-07-26 00:00:00,bitcoin
89,94.13,1079278107.0,0.0,2013-07-27 00:00:00,bitcoin
90,94.005,1078286703.0,0.0,2013-07-28 00:00:00,bitcoin
91,98.5759,1131111629.0,0.0,2013-07-29 00:00:00,bitcoin
92,101.5,1165105812.0,0.0,2013-07-30 00:00:00,bitcoin
93,110.34,1267183179.0,0.0,2013-07-31 00:00:00,bitcoin
94,106.23,1220481782.0,0.0,2013-08-01 00:00:00,bitcoin
95,101.61,1167849454.0,0.0,2013-08-02 00:00:00,bitcoin
96,103.7,1192378895.0,0.0,2013-08-03 00:00:00,bitcoin
97,104.86,1206152150.0,0.0,2013-08-04 00:00:00,bitcoin
98,106.56,1226188584.0,0.0,2013-08-05 00:00:00,bitcoin
99,105.841,1218425716.0,0.0,2013-08-06 00:00:00,bitcoin
100,106.75,1229098150.0,0.0,2013-08-07 00:00:00,bitcoin
101,101.672,1171586790.0,0.0,2013-08-08 00:00:00,bitcoin
102,103.4,1192028805.0,0.0,2013-08-09 00:00:00,bitcoin
103,102.71,1184605785.0,0.0,2013-08-10 00:00:00,bitcoin
104,103.77,1197378682.0,0.0,2013-08-11 00:00:00,bitcoin
105,105.18,1214268916.0,0.0,2013-08-12 00:00:00,bitcoin
106,106.068,1225008501.0,0.0,2013-08-13 00:00:00,bitcoin
107,111.621,1289602061.0,0.0,2013-08-14 00:00:00,bitcoin
108,111.87,1292943118.0,0.0,2013-08-15 00:00:00,bitcoin
109,109.867,1270257534.0,0.0,2013-08-16 00:00:00,bitcoin
110,112.74,1304015666.0,0.0,2013-08-17 00:00:00,bitcoin
